customerid,date,Days_Since_Last_Purchase,total_spend,Average_Transaction_Value,Total_Transactions,Total_Products_Purchased,Unique_Products_Purchased,Average_Days_Between_Purchases,Favorite_Shopping_Day,Favorite_Shopping_Hour,is_uk,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,Outlier_Scores,Is_Outlier
12476.0,2011-12-08,1,5628.58,22.07286274509804,20,2286,176,1.3937007874015748,3,10,0,511.6890909090909,588.2201773733123,50.35363636363637,-1,1
12477.0,2011-11-17,22,13117.01,42.58769480519481,9,3620,192,0.9283387622149837,4,9,0,2186.1683333333335,1381.2143139920995,-158.11971428571428,-1,1
12500.0,2011-11-16,23,4026.27,73.20490909090908,13,2661,33,5.666666666666667,4,10,0,575.1814285714286,555.9034831224023,126.64964285714285,-1,1
12501.0,2011-01-28,315,1945.68,12.236981132075472,2,1714,148,0.13291139240506328,4,12,0,1945.68,0.0,0.0,-1,1
12536.0,2011-12-02,7,4151.26,15.489776119402986,2,2672,259,0.19101123595505617,1,14,0,2075.63,3117.0398285552915,-4408.16,-1,1
12539.0,2011-11-17,22,5568.35,20.396886446886448,4,2067,157,1.1397058823529411,3,9,0,1856.1166666666668,1364.6095347876376,-1190.52,-1,1
12540.0,2011-11-20,19,11489.04,24.760862068965515,19,6612,277,0.7192224622030238,1,10,0,1044.4581818181819,609.5413450098063,57.79545454545455,-1,1
12557.0,2011-11-23,16,11990.96,363.36242424242425,5,4384,15,11.03125,0,13,0,2398.192,1589.420208415635,546.9219999999999,-1,1
12567.0,2011-11-17,22,8322.94,18.292175824175825,11,4045,322,0.7555066079295154,6,11,0,1188.9914285714287,472.90436321482497,-45.257500000000014,-1,1
12569.0,2011-12-07,2,3128.99,19.80373417721519,33,1741,91,1.5031847133757963,3,14,0,347.66555555555556,163.0690485738412,18.505666666666666,-1,1
12583.0,2011-12-07,2,6629.34,28.209957446808517,17,4978,114,1.5555555555555556,4,12,0,552.445,269.61472257143663,4.223006993006998,-1,1
12586.0,2011-11-22,17,179.94000000000003,14.995000000000005,2,77,12,31.90909090909091,1,16,0,89.97000000000001,151.27842476704998,213.94000000000003,-1,1
12590.0,2011-06-02,190,9338.38,135.33884057971014,2,4278,67,0.29411764705882354,3,14,0,4669.1900000000005,6607.304758356467,-9344.14,-1,1
12603.0,2011-11-18,21,613.1999999999999,613.1999999999999,1,56,1,,4,10,0,613.1999999999999,0.0,0.0,-1,1
12612.0,2011-10-13,57,607.59,30.3795,2,249,18,0.8421052631578947,0,15,0,303.79499999999996,515.120219026588,-728.49,-1,1
12621.0,2011-12-08,1,12334.07,27.048399122807016,23,7333,260,0.778021978021978,3,11,0,1027.8391666666666,452.6088638198918,-48.325139860139856,-1,1
12626.0,2011-11-16,23,5722.35,19.20251677852349,13,3313,231,1.0033670033670035,3,11,0,817.4785714285714,567.7603922850017,44.190714285714286,-1,1
12637.0,2011-10-03,67,5790.25,15.157722513089006,9,2974,204,0.6640419947506562,0,15,0,965.0416666666666,907.4147525672407,52.611142857142895,-1,1
12653.0,2011-07-14,148,2209.85,51.391860465116274,2,919,37,3.5,3,10,0,1104.925,460.7861339602137,651.65,-1,1
12678.0,2011-10-28,42,16291.26,103.10924050632912,10,10876,103,1.9426751592356688,4,7,0,2036.4074999999998,2810.8147847338805,626.1057142857143,-1,1
12681.0,2011-11-25,14,12309.59,19.75857142857143,26,7442,266,0.5466237942122186,0,11,0,1230.959,769.3197637516463,-89.53800000000001,-1,1
12682.0,2011-12-06,3,11019.82,22.262262626262626,31,5485,208,0.7145748987854251,1,14,0,847.6784615384615,454.7948498837352,20.14747252747253,-1,1
12683.0,2011-12-05,4,7357.09,21.08048710601719,19,4850,176,1.0172413793103448,3,15,0,735.7090000000001,421.86097192347887,-65.26999999999998,-1,1
12688.0,2011-08-18,113,4873.81,28.501812865497072,1,3028,171,0.0,3,8,0,4873.81,0.0,0.0,-1,1
12705.0,2011-11-24,15,6328.24,18.503625730994152,13,3946,227,0.9824046920821115,4,14,0,791.03,368.81228221723546,-8.32166666666666,-1,1
12709.0,2011-12-06,3,8959.75,35.839,26,3792,101,1.4136546184738956,3,15,0,689.2115384615385,579.3856455166707,-13.604285714285718,-1,1
12720.0,2011-12-07,2,5065.28,14.639537572254335,28,4618,210,1.0347826086956522,2,15,0,389.63692307692304,166.1405278865162,17.587252747252748,-1,1
12731.0,2011-11-16,23,18660.41,67.85603636363636,14,8359,108,1.2262773722627738,0,10,0,1866.041,1033.5916709594107,67.07254545454542,-1,1
12744.0,2011-10-14,56,9120.39,42.42041860465116,4,5234,177,1.219626168224299,1,11,0,2280.0975,1225.347050767659,-133.085,-1,1
12748.0,2011-12-09,0,29819.99,6.716213963963964,217,23516,1767,0.06735751295336788,2,11,1,2293.845384615385,2421.883731160572,229.4282967032967,-1,1
12752.0,2011-09-19,81,4366.78,82.3920754716981,1,2262,53,0.0,0,13,0,4366.78,0.0,0.0,-1,1
12753.0,2011-12-06,3,21024.01,91.40873913043478,11,11250,132,1.5458515283842795,2,11,0,2336.0011111111107,2390.517412645453,-132.28016666666664,-1,1
12754.0,2011-04-18,235,3010.74,47.78952380952381,3,6481,49,1.1612903225806452,4,10,0,1003.5799999999999,1684.9517133437384,1451.7749999999999,-1,1
12755.0,2011-04-04,249,2220.75,444.15,3,867,4,28.75,4,12,0,740.25,2764.578323632738,-2692.8,-1,1
12785.0,2011-12-07,2,249.71,17.836428571428574,2,126,13,27.76923076923077,4,13,0,124.85499999999999,185.3963269593009,-262.19,-1,1
12798.0,2011-11-29,10,6977.04,872.13,3,5256,6,22.857142857142858,2,10,0,2325.68,1149.6295695570814,1022.28,-1,1
12818.0,2011-06-14,178,1157.88,77.19200000000001,2,914,13,5.928571428571429,2,12,0,578.94,852.9687680097087,-1206.2800000000002,-1,1
12823.0,2011-09-26,74,1759.5,351.9,5,230,1,55.0,2,7,1,439.875,144.81216281790697,-22.95,-1,1
12830.0,2011-11-02,37,6814.64,179.33263157894737,6,9848,13,3.5405405405405403,1,10,1,1703.66,1132.1295970573922,-723.64,-1,1
12875.0,2011-07-19,143,343.2300000000001,171.61500000000004,2,2019,1,219.0,1,12,1,171.61500000000004,172.73911557606172,-244.29000000000005,-1,1
12901.0,2011-12-01,8,16316.14,132.65154471544716,34,21299,30,2.0327868852459017,2,11,1,1631.614,836.1700129519116,-150.14630303030307,-1,1
12908.0,2011-06-16,176,360.0,120.0,3,600,1,68.0,0,12,1,180.0,356.38181771801993,504.0,-1,1
12921.0,2011-12-06,3,16389.74,22.118407557354928,50,9454,233,0.4743243243243243,2,13,1,1365.8116666666667,1091.588134115805,87.60496503496505,-1,1
12931.0,2011-11-18,21,33544.81,332.1268316831683,19,23577,28,3.29,3,13,1,4193.10125,7158.946108691932,1286.3589285714286,-1,1
12939.0,2011-10-06,64,11581.8,246.42127659574467,8,4876,21,5.826086956521739,0,9,1,1930.3,960.8859484454957,-145.2857142857143,-1,1
12971.0,2011-12-06,3,10933.76,35.61485342019544,88,9204,94,1.088235294117647,2,10,1,841.0584615384615,513.4633485434339,18.798186813186813,-1,1
13018.0,2011-11-23,16,7272.75,15.844771241830063,29,5434,313,0.5895196506550219,3,11,1,727.275,466.3654458147602,-0.8558181818181759,-1,1
13027.0,2011-08-18,113,6912.0,265.84615384615387,6,17280,6,9.52,2,9,1,1382.4,601.8212359164472,134.4,-1,1
13068.0,2011-11-29,10,344.0,172.0,2,200,1,309.0,0,8,1,172.0,9.899494936611665,14.0,-1,1
13078.0,2011-12-08,1,12432.28,32.71652631578947,43,5557,96,0.9182058047493403,2,14,1,956.3292307692308,456.20361454547793,63.76675824175825,-1,1
13081.0,2011-12-08,1,27972.08,26.488712121212124,20,18930,510,0.34312796208530805,4,16,1,3108.008888888889,2888.2767122907585,120.63366666666667,-1,1
13089.0,2011-12-07,2,57322.13,30.934770642201837,118,30742,636,0.1744060475161987,3,14,1,4409.3946153846155,1146.3527113168923,-20.388846153846167,-1,1
13093.0,2011-03-17,267,7741.47,45.53805882352941,13,3943,99,0.5976331360946746,3,15,1,1935.3674999999998,1479.6570729367215,-1136.329,-1,1
13098.0,2011-12-08,1,28658.88,47.37004958677686,41,15911,163,0.49337748344370863,3,10,1,2388.2400000000002,1524.7163077289315,304.0353146853147,-1,1
13113.0,2011-12-09,0,10523.65,37.85485611510792,39,2596,112,1.2707581227436824,2,12,1,956.6954545454545,858.035270153432,-53.38663636363636,-1,1
13135.0,2011-05-27,196,3096.0,3096.0,1,4300,1,,4,10,1,3096.0,0.0,0.0,-1,1
13199.0,2011-12-06,3,9788.96,82.26016806722689,38,6171,47,2.940677966101695,3,14,1,752.996923076923,690.8673175483193,63.9312087912088,-1,1
13225.0,2011-12-06,3,6083.04,178.91294117647058,8,3352,23,10.757575757575758,0,16,1,869.0057142857144,406.4983630494775,-8.99285714285712,-1,1
13263.0,2011-12-08,1,7411.71,4.4595126353790615,34,4761,448,0.1848284166164961,1,13,1,673.7918181818181,327.4330522967461,-20.91945454545455,-1,1
13319.0,2011-12-04,5,10664.34,21.32868,36,4686,211,0.6953907815631263,3,10,1,820.3338461538461,553.0096511746497,11.953461538461537,-1,1
13324.0,2011-11-07,32,7072.8,91.85454545454546,12,5200,25,4.2631578947368425,6,12,1,1178.8,804.3579040203434,191.17485714285715,-1,1
13340.0,2011-10-25,45,10736.48,80.12298507462687,7,5770,128,1.7293233082706767,1,11,1,2684.12,1732.4738956571132,-1015.03,-1,1
13408.0,2011-12-08,1,27888.38,56.68369918699187,75,16128,234,0.7067209775967414,2,12,1,2145.26,851.7957903257486,68.53318681318683,-1,1
13501.0,2011-04-11,242,1310.47,24.72584905660377,2,557,52,0.8653846153846154,3,18,0,655.235,968.8564983783718,-1370.17,-1,1
13685.0,2011-12-07,2,3119.44,79.98564102564103,7,5056,29,1.4473684210526316,0,10,1,1559.72,529.9482482280699,-749.46,-1,1
13694.0,2011-12-06,3,62961.54,108.3675387263339,57,61904,367,0.5982758620689655,3,12,1,4843.195384615385,2245.53489981272,89.2612637362638,-1,1
13767.0,2011-12-07,2,16945.71,42.47045112781954,52,7258,55,0.8793969849246231,0,14,1,1303.5161538461539,1027.6835588881308,37.62461538461539,-1,1
13777.0,2011-12-09,0,25758.1,118.7009216589862,40,12807,39,1.6481481481481481,3,10,1,1981.3923076923077,2362.039209539623,86.93170329670328,-1,1
13798.0,2011-12-08,1,36352.87,82.9974200913242,63,23515,115,0.7894736842105263,4,15,1,2796.3746153846155,1061.0672215244376,-166.28208791208795,-1,1
13848.0,2011-09-08,92,1255.0,251.0,3,3700,3,68.25,1,10,1,418.3333333333333,170.31832941093958,0.0,-1,1
13868.0,2011-12-02,7,3192.54,96.74363636363636,2,1964,32,0.96875,1,12,1,1596.27,1539.6967317624596,2177.46,-1,1
13881.0,2011-12-06,3,16989.52,94.38622222222224,22,10062,72,1.670391061452514,1,10,1,1544.5018181818182,1173.7692149721613,185.98772727272726,-1,1
13969.0,2011-12-02,7,8956.92,14.308178913738018,20,4469,334,0.5568,3,15,1,814.2654545454545,674.8976084320293,156.77836363636362,-1,1
14031.0,2011-12-02,7,14698.91,57.19420233463035,22,5371,120,1.3984375,4,17,1,1336.2645454545454,678.4889280358765,-20.78190909090909,-1,1
14045.0,2011-08-22,109,1659.75,276.625,4,535,4,52.6,3,8,1,553.25,324.82063896864685,40.80000000000001,-1,1
14051.0,2011-12-09,0,15477.34,71.98762790697674,26,3741,52,1.6542056074766356,1,10,1,1190.5646153846153,693.8728562882322,75.89203296703296,-1,1
14056.0,2011-12-08,1,8063.3,7.270784490532011,29,4213,320,0.2427797833935018,3,15,1,733.0272727272727,375.7318319783648,-2.1632727272727257,-1,1
14088.0,2011-11-29,10,50415.49,85.44998305084745,14,12593,379,0.5195246179966044,2,15,1,8402.581666666667,5052.492096478397,1124.7814285714287,-1,1
14096.0,2011-12-05,4,53258.43,10.453077526987242,17,16336,1118,0.0176678445229682,0,15,1,10651.686,8695.941086991677,2969.151,-1,1
14156.0,2011-11-30,9,113685.77,81.14615988579587,64,56896,714,0.24,1,14,0,9473.814166666667,7598.948335251827,392.1962587412587,-1,1
14159.0,2011-11-20,19,4613.27,3.902935702199661,14,4332,500,0.2870448772226926,6,12,1,659.0385714285713,256.3028401083746,91.28071428571427,-1,1
14194.0,2011-12-05,4,11216.75,18.570778145695364,32,5783,269,0.48258706467661694,4,14,1,1121.675,609.3186293676278,60.42066666666667,-1,1
14258.0,2011-11-30,9,12650.08,112.94714285714284,10,7098,58,2.90990990990991,3,10,1,1581.26,726.9507612329345,-64.73238095238098,-1,1
14277.0,2011-11-24,15,3892.8,17.37857142857143,4,1614,194,0.8789237668161435,3,15,0,1946.4,448.82895829034914,634.74,-1,1
14286.0,2011-11-16,23,4595.81,16.12564912280702,5,4306,220,0.7640845070422535,0,8,1,1148.9524999999999,1011.7363523294989,31.277000000000044,-1,1
14298.0,2011-12-06,3,50862.44,31.01368292682927,45,58021,884,0.21171446003660768,3,12,1,3912.495384615385,2819.1334389004937,-169.2611538461538,-1,1
14439.0,2011-01-24,319,2661.24,83.16375,1,526,32,0.0,0,11,0,2661.24,0.0,0.0,-1,1
14456.0,2011-12-04,5,3000.8,3.1554153522607784,13,2842,579,0.14105263157894737,6,15,1,600.1600000000001,358.0722200199284,-111.07300000000001,-1,1
14527.0,2011-12-07,2,8477.53,8.712774922918808,57,2082,329,0.3497942386831276,2,12,1,652.1176923076923,229.47658501300475,18.83873626373627,-1,1
14547.0,2011-12-06,3,3953.95,11.106601123595508,9,2629,198,0.1323943661971831,6,14,1,1317.9833333333333,1459.6197641280874,4.225000000000023,-1,1
14566.0,2011-08-21,110,1432.0,358.0,1,800,4,0.0,6,11,0,1432.0,0.0,0.0,-1,1
14606.0,2011-12-08,1,11486.6,4.169364791288566,125,5932,829,0.11837327523602033,2,12,1,883.5846153846154,331.41184752045757,-62.69076923076922,-1,1
14607.0,2011-11-24,15,9793.1,92.3877358490566,15,6966,37,2.3142857142857145,0,10,1,3264.366666666667,2474.6391380024147,1772.15,-1,1
14609.0,2011-09-28,72,601.56,150.39,4,7026,2,74.0,2,12,1,150.39,31.315689358530815,-4.643999999999998,-1,1
14646.0,2011-12-08,1,278778.02,135.1978758486906,73,196556,699,0.1591460456089277,3,11,0,21444.46307692308,12486.320634703527,785.4820329670331,-1,1
14667.0,2011-11-29,10,9160.79,16.09980667838313,27,5315,353,0.6091549295774648,0,13,1,832.799090909091,730.5479284818285,64.91300000000001,-1,1
14680.0,2011-11-14,25,26932.34,84.1635625,23,12474,83,1.0532915360501567,1,12,1,2448.3945454545456,1657.4178074605309,-29.998727272727262,-1,1
14733.0,2011-11-30,9,9451.54,43.75712962962963,15,3725,102,1.6372093023255814,0,15,1,1050.1711111111113,1345.328535195441,-346.6240000000001,-1,1
14769.0,2011-12-07,2,10382.18,9.748525821596244,10,7208,717,0.32894736842105265,6,13,1,1297.7725,1351.0413408261898,96.87880952380954,-1,1
14777.0,2011-12-05,4,-17.45,-5.816666666666666,2,-9,2,176.5,3,15,1,-8.725,8.167083322704624,11.55,-1,1
14796.0,2011-12-08,1,7790.95,6.745411255411256,27,5908,402,0.3076256499133449,0,10,1,599.3038461538462,244.51191619014065,-7.6998901098901085,-1,1
14865.0,2011-12-02,7,52.2,13.05,2,108,4,121.33333333333333,3,18,1,26.1,15.697770542341358,-22.200000000000003,-1,1
14866.0,2011-11-29,10,14160.95,138.8328431372549,12,6568,29,3.4653465346534653,1,14,1,2360.1583333333333,2383.340335717219,910.3162857142858,-1,1
14895.0,2011-12-02,7,11020.26,21.77916996047431,24,4823,275,0.6099009900990099,4,15,1,1001.8418181818182,673.7337190436319,27.68163636363637,-1,1
14911.0,2011-12-08,1,128768.24,22.178477437134,242,76823,1791,0.04840654608096469,3,14,0,9905.249230769232,6349.3671004524285,1105.1536263736266,-1,1
14935.0,2011-02-15,297,1784.71,178.471,1,935,10,0.0,1,14,0,1784.71,0.0,0.0,-1,1
14936.0,2011-11-30,9,8117.42,22.178743169398903,9,4083,210,0.7232876712328767,2,8,0,1623.484,300.9287336397107,-88.46700000000001,-1,1
15005.0,2011-11-24,15,6158.84,5.350860121633362,35,4186,367,0.29391304347826086,3,14,1,513.2366666666667,223.80319626986127,35.038741258741254,-1,1
15032.0,2011-03-28,256,4464.1,81.16545454545455,5,2668,29,2.037037037037037,2,12,1,2232.05,761.6247140160305,-1077.1,-1,1
15039.0,2011-11-30,9,19638.59,13.242474713418746,52,9113,408,0.22874493927125505,2,11,1,1636.5491666666667,792.374778916441,-144.2187762237762,-1,1
15061.0,2011-12-06,3,54250.34,132.64141809290953,54,28638,70,0.8676470588235294,3,10,1,4173.1030769230765,5065.510956939395,-345.99802197802194,-1,1
15078.0,2011-12-02,7,9623.35,21.337804878048782,38,5069,98,0.7733333333333333,4,13,1,740.2576923076923,318.37930641384986,23.484670329670333,-1,1
15098.0,2011-06-10,182,39619.5,9904.875,4,61,1,0.0,4,15,1,39619.5,0.0,0.0,-1,1
15125.0,2011-11-14,25,11117.05,79.4075,23,5991,102,1.7194244604316546,0,9,1,1389.63125,1298.1357400126592,-376.6946428571429,-1,1
15159.0,2011-12-08,1,18573.68,25.796777777777777,34,11394,363,0.48261474269819193,0,14,1,1547.8066666666666,1199.1469776798788,151.51643356643356,-1,1
15189.0,2011-12-08,1,15802.14,68.1126724137931,53,6035,80,1.3246753246753247,3,12,1,1316.845,667.7313030022563,74.91216783216782,-1,1
15195.0,2011-12-07,2,3861.0,3861.0,1,1404,1,,2,12,1,3861.0,0.0,0.0,-1,1
15251.0,2011-11-30,9,10327.11,85.34801652892563,15,6084,97,1.8833333333333333,1,10,1,1290.8887499999998,856.8962210949385,-232.2170238095238,-1,1
15299.0,2011-10-03,67,3901.0,487.625,7,2942,7,43.285714285714285,3,16,1,975.25,834.5920301161121,-169.504,-1,1
15311.0,2011-12-09,0,59284.19,23.924209039548025,118,37673,571,0.12918853451756157,1,13,1,4560.322307692308,1942.3275882737266,-86.84505494505493,-1,1
15358.0,2011-12-05,4,8235.65,14.706517857142856,29,6928,292,0.627906976744186,0,9,1,633.5115384615384,299.34111007472603,-14.65978021978022,-1,1
15482.0,2011-11-24,15,6353.52,50.82816,15,2981,45,2.7338709677419355,3,10,1,1270.7040000000002,1568.1281171766548,667.9760000000001,-1,1
15498.0,2011-12-07,2,13252.55,25.63355899419729,30,6090,360,0.687984496124031,3,10,1,1204.7772727272727,665.7042073036779,-46.48527272727274,-1,1
15502.0,2011-11-24,15,5548.58,22.83366255144033,19,3825,163,1.4421487603305785,0,11,1,924.7633333333333,1353.0319544440429,-141.10400000000004,-1,1
15513.0,2011-11-08,31,14520.08,46.24229299363057,22,5545,183,1.0702875399361023,3,12,1,1320.0072727272727,846.4752695275971,65.01400000000001,-1,1
15555.0,2011-11-27,12,4745.75,5.21510989010989,20,4369,403,0.38613861386138615,6,12,1,527.3055555555555,330.54799557368034,17.889,-1,1
15640.0,2011-12-05,4,12336.74,25.38423868312757,17,6538,241,0.7422680412371134,6,14,1,1233.674,669.9849803490622,-44.25442424242423,-1,1
15749.0,2011-04-18,235,21535.9,1435.7266666666667,4,9014,6,6.928571428571429,0,13,1,10767.95,17296.46826392602,-24460.9,-1,1
15769.0,2011-12-02,7,51823.72,352.54231292517005,29,27660,26,2.4246575342465753,3,10,1,3986.44,3557.9628036654162,-124.68285714285712,-1,1
15786.0,2011-10-27,43,4821.0,17.27956989247312,5,3307,257,0.2517985611510791,2,13,1,2410.5,947.4382339762313,-1339.88,-1,1
15797.0,2011-08-18,113,2192.4,313.2,3,872,7,31.833333333333332,1,10,1,730.8000000000001,662.2510702143107,-564.0,-1,1
15838.0,2011-11-28,11,33362.28,198.585,20,9008,55,2.125748502994012,3,9,1,3336.228,3225.6837896028596,786.0164848484849,-1,1
15856.0,2011-12-05,4,15928.48,25.084220472440943,31,10799,296,0.5520504731861199,4,17,1,1448.0436363636363,928.4908834153704,42.319272727272725,-1,1
16000.0,2011-12-07,2,12393.7,1377.0777777777778,3,5110,9,0.0,2,12,1,12393.7,0.0,0.0,-1,1
16013.0,2011-12-06,3,33453.45,224.5197986577181,52,13942,32,2.3716216216216215,4,12,1,2573.3423076923073,1632.195776268653,222.70159340659345,-1,1
16029.0,2011-11-01,38,60369.93,232.1920384615385,66,33687,43,1.223938223938224,1,11,1,5030.8275,4517.1180170247435,-9.181153846153876,-1,1
16033.0,2011-12-04,5,8690.03,7.602825896762905,27,3506,539,0.30910683012259194,6,12,1,668.4638461538462,339.94933128674876,33.12499999999999,-1,1
16041.0,2011-11-09,30,3166.4,527.7333333333333,3,1584,6,22.0,3,16,1,1583.2,1635.6794062407218,-2313.2,-1,1
16133.0,2011-12-06,3,14305.66,39.301263736263735,46,8737,220,0.8099173553719008,1,12,1,1300.5145454545454,1111.6460255617671,-18.60718181818182,-1,1
16180.0,2011-08-31,100,10217.48,58.05386363636364,10,5853,92,0.8457142857142858,4,11,1,2043.4959999999999,1124.6768657396665,596.899,-1,1
16182.0,2011-09-28,72,6617.65,236.34464285714284,4,3791,17,8.185185185185185,2,13,1,1654.4125,620.7332872968335,348.095,-1,1
16210.0,2011-12-08,1,21076.3,172.75655737704918,17,7558,73,3.0082644628099175,2,12,1,2634.5375,2460.3535419630243,-113.74666666666664,-1,1
16308.0,2011-11-02,37,2560.0,640.0,4,8000,1,74.0,2,10,1,640.0,261.2789058968723,192.0,-1,1
16333.0,2011-12-02,7,26626.8,591.7066666666667,22,32184,9,6.704545454545454,4,12,1,2958.5333333333333,2207.440017486319,5.112666666666655,-1,1
16422.0,2011-11-22,17,34311.0,90.76984126984128,60,33584,70,0.8541114058355438,0,11,1,2859.25,882.8305790209951,-20.781538461538485,-1,1
16525.0,2011-12-07,2,11895.57,59.47785,29,6493,75,1.763819095477387,2,11,1,991.2975,631.9427943920961,-21.90926573426573,-1,1
16532.0,2011-11-22,17,6748.8,1687.2,3,2016,2,106.66666666666667,2,10,1,2249.6,348.33363317371465,160.79999999999995,-1,1
16549.0,2011-11-29,10,4034.9,4.362054054054054,10,2294,445,0.3474025974025974,1,15,1,806.98,718.8164768562278,391.2850000000001,-1,1
16656.0,2011-11-17,22,8568.24,107.103,21,8873,14,4.177215189873418,1,9,1,778.930909090909,436.1572066687548,51.825363636363626,-1,1
16671.0,2011-11-11,28,1692.27,282.045,3,875,3,27.0,1,11,1,846.135,759.072058535947,-1073.4900000000002,-1,1
16684.0,2011-12-05,4,65920.12,235.429,30,49391,119,1.2365591397849462,2,10,1,6592.012,5171.459575668491,674.2744242424244,-1,1
16692.0,2011-03-28,256,1126.0,563.0,2,151,1,32.0,0,14,1,563.0,784.1814203358812,1109.0,-1,1
16705.0,2011-12-09,0,13946.13,49.106091549295776,29,5458,135,1.2296819787985867,0,13,1,1394.613,819.4634254200191,9.204303030303018,-1,1
16754.0,2010-12-02,372,2002.4,1001.2,1,4280,2,0.0,3,17,1,2002.4,0.0,0.0,-1,1
16839.0,2011-12-01,8,15362.28,51.724848484848486,39,8471,116,1.1587837837837838,3,12,1,1280.19,786.0664327349994,3.5748251748251727,-1,1
16843.0,2011-10-28,42,10183.82,26.87023746701847,17,10154,226,0.7380952380952381,3,14,1,1131.5355555555554,622.5986542330282,131.58533333333332,-1,1
16923.0,2011-11-27,12,6488.3,9.982,26,3110,316,0.522342064714946,6,11,1,648.83,374.39161546879404,54.04690909090909,-1,1
16931.0,2011-12-04,5,4554.87,5.140936794582393,21,3134,448,0.4,6,12,1,350.37461538461537,187.1453774304611,12.420604395604398,-1,1
16984.0,2011-09-22,78,4370.59,10.63403892944039,5,2365,354,0.12439024390243902,0,17,1,2185.295,1359.9289747814037,-1923.2299999999998,-1,1
16986.0,2011-11-10,29,1873.2,624.4,2,1040,3,0.0,2,15,1,1873.2,0.0,0.0,-1,1
17029.0,2011-08-21,110,716.0,358.0,2,400,1,126.0,6,10,1,358.0,0.0,0.0,-1,1
17107.0,2011-11-07,32,10362.48,24.73145584725537,7,4526,269,0.5789473684210527,6,14,1,2072.496,290.42044466600487,8.09599999999996,-1,1
17139.0,2011-11-24,15,10567.87,21.744588477366257,15,5157,309,0.554639175257732,3,9,1,1320.98375,588.3882009338854,-90.73035714285713,-1,1
17203.0,2011-11-04,35,3560.08,24.054594594594597,6,2846,116,0.1564625850340136,4,12,1,1780.04,1107.6120620506078,-1566.3999999999996,-1,1
17243.0,2011-12-08,1,8483.35,21.58613231552163,30,3308,179,0.9158163265306123,6,12,1,706.9458333333333,629.5399895805353,69.91493006993007,-1,1
17306.0,2011-11-29,10,8600.73,124.6482608695652,21,11470,13,4.911764705882353,2,9,1,860.073,366.2442094817185,79.5767878787879,-1,1
