,customerid,date,Days_Since_Last_Purchase,total_spend,Average_Transaction_Value,Total_Transactions,Total_Products_Purchased,Unique_Products_Purchased,Average_Days_Between_Purchases,Favorite_Shopping_Day,Favorite_Shopping_Hour,is_uk,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,cluster
15,12365.0,2011-02-21,291,320.69,15.27095238095238,1,173,21,0.0,0,13,0,320.69,0.0,0.0,1
16,12367.0,2011-12-05,4,150.9,15.09,1,172,10,0.0,0,16,0,150.9,0.0,0.0,1
17,12371.0,2011-10-11,59,1527.96,24.64451612903225,1,582,62,0.0,1,10,0,1527.96,0.0,0.0,1
18,12372.0,2011-09-29,71,1196.04,24.408979591836733,3,788,33,4.666666666666667,2,12,0,398.68,70.34687484174405,-5.050000000000011,1
19,12373.0,2011-02-01,311,324.6,24.96923076923077,1,196,13,0.0,1,13,0,324.6,0.0,0.0,1
20,12374.0,2011-11-14,25,622.93,19.4665625,1,339,32,0.0,0,15,0,622.9300000000001,0.0,0.0,1
21,12375.0,2011-12-07,2,375.42,23.46375,3,175,13,6.333333333333333,4,14,0,125.14,110.1866543643104,-96.19,1
22,12377.0,2011-01-28,315,1548.12,20.37,2,942,71,0.52,0,9,0,774.06,321.67701689738414,-454.92,1
23,12379.0,2011-09-19,81,775.29,19.87923076923077,3,401,38,2.289473684210526,0,10,0,258.43,227.0149702112176,-26.21999999999997,1
24,12380.0,2011-11-18,21,2423.56,23.995643564356435,5,1109,76,1.62,4,11,0,605.89,210.4794672487873,82.21199999999997,1
25,12381.0,2011-12-05,4,1433.46,16.66813953488372,4,772,69,1.3294117647058823,4,9,0,477.82,456.29813641960016,-440.19,1
26,12383.0,2011-06-08,184,1617.31,17.024315789473683,6,1515,83,1.75531914893617,2,14,0,323.462,236.7698630949472,-142.529,1
27,12384.0,2011-11-11,28,406.16,14.505714285714287,3,117,25,3.3703703703703702,2,11,0,135.38666666666668,133.79804943770046,-0.0549999999999926,1
28,12386.0,2011-01-06,337,401.9,40.19,2,354,10,3.2222222222222223,2,9,0,200.95,81.95367593952088,-115.90000000000003,1
29,12388.0,2011-11-24,15,2780.66,27.8066,6,1462,57,3.121212121212121,3,11,0,463.4433333333333,327.1524836321233,59.20857142857143,1
30,12390.0,2011-09-21,79,504.84,16.28516129032258,1,350,31,0.0,2,9,0,504.84,0.0,0.0,1
31,12391.0,2011-11-18,21,439.66,4.72752688172043,1,293,92,0.0,4,12,0,439.66,0.0,0.0,1
32,12393.0,2011-09-28,72,1582.6,24.728125,4,816,47,4.111111111111111,2,9,0,527.5333333333333,109.0752186948682,-58.99999999999999,1
33,12394.0,2011-10-07,63,1080.48,43.2192,2,808,25,6.375,4,14,0,540.24,267.5126374584946,378.32,1
34,12395.0,2011-11-24,15,2662.28,18.11074829931973,15,2092,90,2.3835616438356166,4,16,0,295.80888888888893,219.9150499877421,18.175166666666676,1
35,12397.0,2011-11-04,35,2214.9,17.86209677419355,2,1250,109,0.8048780487804879,2,14,0,1107.4499999999998,3.337544007200443,-4.720000000000027,1
36,12398.0,2011-10-25,45,1435.66,17.091190476190476,1,1389,84,0.0,1,10,0,1435.66,0.0,0.0,1
37,12399.0,2011-08-12,119,1033.65,18.793636363636367,4,1173,46,2.6296296296296298,1,10,0,258.4125,143.61915224532788,-57.111,1
38,12401.0,2011-02-09,303,69.3,17.325,1,10,4,0.0,2,13,0,69.3,0.0,0.0,1
39,12402.0,2011-01-20,323,195.6,19.56,1,92,10,0.0,3,13,0,195.6,0.0,0.0,1
40,12403.0,2011-10-21,49,391.7,97.925,1,94,4,0.0,4,10,0,391.7,0.0,0.0,1
41,12405.0,2011-07-14,148,1390.39,26.233773584905663,1,849,53,0.0,3,8,0,1390.39,0.0,0.0,1
42,12407.0,2011-10-21,49,1507.12,20.932222222222222,5,1403,56,2.9859154929577465,2,9,0,376.78,277.27468306115986,71.21199999999999,1
43,12408.0,2011-11-07,32,2587.57,23.958981481481484,8,1382,80,2.102803738317757,4,10,0,517.5139999999999,314.309602669088,44.543,1
44,12410.0,2011-02-11,301,521.08,19.299259259259266,3,205,25,0.2692307692307692,4,10,0,521.08,0.0,0.0,1
45,12412.0,2011-09-26,74,1142.88,19.7048275862069,3,824,42,1.631578947368421,0,13,0,380.96,88.39763118998155,-86.18,1
46,12413.0,2011-10-04,66,676.15,18.27432432432432,4,281,28,7.472222222222222,3,16,0,225.38333333333333,170.7237705573929,-119.54999999999998,1
47,12414.0,2011-05-06,217,442.41,29.494000000000003,3,297,15,6.571428571428571,2,14,0,147.47,48.29698437790915,6.045000000000002,1
48,12417.0,2011-12-06,3,3155.8,16.6973544973545,12,1514,157,1.8563829787234043,3,14,0,350.64444444444445,217.88428248218773,0.3115000000000046,1
49,12418.0,2011-08-19,112,668.58,19.664117647058823,1,407,34,0.0,4,11,0,668.58,0.0,0.0,1
50,12420.0,2011-10-07,63,600.39,20.70310344827586,1,345,29,0.0,4,8,0,600.39,0.0,0.0,1
51,12421.0,2011-11-24,15,639.04,15.586341463414634,4,478,31,7.525,6,13,0,159.76,24.612345140870534,5.550000000000009,1
52,12422.0,2011-09-05,95,683.5600000000001,17.98842105263158,3,367,38,6.162162162162162,4,9,0,227.85333333333327,75.39590528227203,-45.400000000000006,1
53,12423.0,2011-12-09,0,1624.11,13.763644067796609,9,1312,96,2.9743589743589745,0,10,0,180.45666666666668,103.4306682033912,-17.364500000000003,1
54,12424.0,2011-06-30,162,1760.96,58.69866666666667,2,740,30,0.0,3,12,0,1760.96,0.0,0.0,1
55,12425.0,2011-09-22,78,777.2,21.58888888888889,1,496,36,0.0,3,17,0,777.2,0.0,0.0,1
56,12426.0,2011-05-29,194,510.73,17.611379310344827,1,254,29,0.0,6,12,0,510.73,0.0,0.0,1
57,12427.0,2011-11-28,11,582.37,18.1990625,5,229,25,11.548387096774194,0,15,0,194.1233333333333,51.687962170444806,-24.655,1
58,12429.0,2011-11-30,9,3388.4,36.0468085106383,4,1538,81,3.817204301075269,0,12,0,847.1,325.3753528875023,-11.452000000000009,1
59,12430.0,2011-10-27,43,216.4,21.64,1,116,10,0.0,3,15,0,216.4,0.0,0.0,1
60,12431.0,2011-11-04,35,6243.89,26.457161016949154,18,2839,162,1.4085106382978725,3,14,0,693.7655555555556,351.5623867861546,12.737166666666676,1
61,12434.0,2011-09-16,84,765.19,14.170185185185186,4,373,49,5.188679245283019,4,12,0,191.2975,262.5452615423354,134.347,1
62,12436.0,2011-09-01,99,429.0100000000001,28.60066666666667,1,209,15,0.0,3,12,0,429.01,0.0,0.0,1
63,12437.0,2011-12-08,1,4392.66,23.744108108108108,19,2889,117,1.7445652173913044,2,9,0,439.266,377.385354223269,35.112848484848485,1
64,12441.0,2010-12-08,366,155.55,15.555,1,120,10,0.0,2,10,0,155.55,0.0,0.0,1
65,12442.0,2011-12-06,3,144.06,13.096363636363636,1,181,11,0.0,1,14,0,144.06,0.0,0.0,1
66,12444.0,2011-11-18,21,4085.46,23.75267441860465,5,1130,137,0.8713450292397661,1,14,0,817.092,595.3342472678689,-226.51800000000003,1
67,12445.0,2011-11-17,22,77.4,25.8,1,60,3,0.0,3,18,0,77.4,0.0,0.0,1
68,12446.0,2011-10-13,57,1002.31,17.584385964912283,1,351,57,0.0,3,12,0,1002.31,0.0,0.0,1
69,12447.0,2011-04-10,243,431.49,17.2596,1,187,25,0.0,6,13,0,431.49,0.0,0.0,1
70,12448.0,2011-10-26,44,365.45,17.402380952380952,1,240,21,0.0,2,13,0,365.45,0.0,0.0,1
71,12449.0,2011-11-17,22,3596.29,19.231497326203208,4,1523,117,0.8763440860215054,3,9,0,899.0725,233.06767291568636,157.809,1
72,12450.0,2011-07-06,156,197.88,24.735,2,128,7,2.4285714285714284,6,14,0,98.94,4.157787873376896,-5.879999999999996,1
73,12452.0,2011-11-23,16,348.57,17.4285,1,181,20,0.0,2,8,0,348.57,0.0,0.0,1
74,12453.0,2011-07-28,134,707.09,16.443953488372095,1,473,43,0.0,3,14,0,707.09,0.0,0.0,1
75,12454.0,2011-10-17,53,5.684341886080804e-14,1.8947806286936005e-15,2,0,15,0.0689655172413793,0,15,0,5.684341886080803e-14,0.0,0.0,1
76,12455.0,2011-09-27,73,2339.86,27.527764705882355,5,2084,84,2.642857142857143,2,9,0,467.972,685.4232305079834,-302.864,1
77,12456.0,2011-10-26,44,2553.89,20.268968253968254,4,1601,104,1.672,2,15,0,638.4725000000001,462.7135113923085,-114.59699999999998,1
78,12457.0,2011-10-12,58,1597.78,24.9653125,11,686,52,2.8095238095238093,2,15,0,399.445,486.6842550360552,-114.10200000000002,1
79,12458.0,2011-09-29,71,787.4,21.87222222222222,2,502,34,6.085714285714285,0,10,0,393.7000000000001,44.94370701221694,63.56,1
80,12461.0,2011-07-08,154,626.88,18.43764705882353,1,282,34,0.0,4,10,0,626.88,0.0,0.0,1
81,12462.0,2011-12-07,2,872.01,12.457285714285714,4,505,50,4.333333333333333,2,14,0,290.67,312.41076181847507,-309.045,1
82,12463.0,2011-10-24,46,1165.63,14.043734939759036,6,751,65,2.3292682926829267,1,13,0,291.4075,25.1912966121238,-1.812999999999991,1
83,12464.0,2011-11-29,10,957.05,43.502272727272725,8,95,5,14.095238095238097,3,13,0,191.41,124.156153693645,9.939999999999996,1
84,12465.0,2011-12-02,7,673.89,13.752857142857142,3,471,45,3.3541666666666665,3,13,0,224.63,213.47274463031576,-209.62,1
85,12468.0,2011-07-19,143,652.04,17.158947368421053,3,360,35,4.648648648648648,6,11,0,217.3466666666667,240.90112086358863,-95.045,1
86,12475.0,2011-10-17,53,669.38,19.12514285714286,1,532,35,0.0,0,10,0,669.38,0.0,0.0,1
87,12478.0,2011-12-06,3,545.99,15.599714285714288,1,233,35,0.0,1,9,0,545.99,0.0,0.0,1
88,12479.0,2011-12-06,3,423.3,12.45,3,348,30,0.2121212121212121,0,13,0,211.65,369.887557238683,-523.0999999999999,1
89,12480.0,2011-11-11,28,2885.63,19.23753333333333,4,1685,128,2.0604026845637584,4,14,0,721.4075,206.0346762683408,60.39499999999998,1
90,12481.0,2011-11-17,22,4998.36,23.9155980861244,11,3248,149,1.625,0,10,0,624.795,383.4379545264508,10.01095238095238,1
91,12483.0,2011-11-22,17,1873.13,26.01569444444445,11,1084,45,4.450704225352113,1,11,0,267.59000000000003,100.64136724031523,1.4885714285714338,1
92,12484.0,2011-11-04,35,3892.87,11.349475218658892,6,2160,255,0.8713450292397661,4,13,0,648.8116666666666,546.0013475593872,-31.72428571428573,1
93,12488.0,2011-11-30,9,1244.66,23.049259259259266,3,526,45,1.2264150943396226,2,10,0,414.8866666666666,178.0431426181119,-38.09,1
94,12489.0,2011-01-07,336,298.93,21.35214285714286,1,103,14,0.0,4,13,0,298.93,0.0,0.0,1
95,12490.0,2011-12-04,5,4859.93,20.680553191489363,10,3033,130,1.3717948717948718,2,13,0,607.49125,345.208488533172,44.769880952380944,1
96,12491.0,2011-11-01,38,424.4,16.976000000000003,1,258,24,0.0,1,12,0,424.4,0.0,0.0,1
97,12492.0,2011-10-07,63,227.21,12.622777777777776,2,190,18,2.4705882352941178,4,15,0,113.605,7.375123727775691,10.429999999999993,1
98,12493.0,2011-06-27,165,362.79,17.275714285714287,3,203,18,1.5,3,14,0,181.395,2.609224022578359,3.6899999999999977,1
99,12494.0,2011-11-30,9,995.35,12.926623376623375,13,682,62,4.578947368421052,3,13,0,142.19285714285715,127.42034292245565,17.60178571428571,1
100,12497.0,2011-09-19,81,953.1,73.31538461538462,1,1231,13,0.0,0,12,0,953.1,0.0,0.0,1
101,12498.0,2011-11-18,21,349.70000000000005,16.652380952380955,3,156,20,1.8,3,9,0,174.85000000000002,51.47737367038069,-72.80000000000004,1
102,12502.0,2011-09-05,95,2995.87,21.097676056338027,5,794,101,1.5106382978723405,3,11,0,599.174,183.36386675133136,84.02700000000002,1
103,12504.0,2011-11-21,18,59.99999999999999,4.285714285714286,4,48,5,0.8461538461538461,0,16,0,59.99999999999999,0.0,0.0,1
104,12506.0,2011-04-21,232,73.5,3.1956521739130435,1,23,23,0.0,3,8,0,73.5,0.0,0.0,1
105,12507.0,2011-07-28,134,1006.06,50.303,4,874,18,8.631578947368421,0,9,0,503.03,199.2202645314979,281.73999999999995,1
106,12508.0,2011-11-13,26,397.88,5.851176470588236,2,271,57,0.0298507462686567,3,16,0,397.88,0.0,0.0,1
107,12509.0,2011-02-28,284,158.5,26.416666666666668,1,54,6,0.0,0,14,0,158.5,0.0,0.0,1
108,12510.0,2011-07-20,142,814.5699999999999,26.276451612903223,2,347,28,6.066666666666666,1,14,0,407.285,268.3682366637304,-379.53,1
109,12512.0,2011-10-04,66,132.18,4.263870967741935,2,96,31,0.0,1,14,0,132.18,0.0,0.0,1
110,12513.0,2011-09-16,84,532.79,15.222571428571428,2,453,34,0.8235294117647058,4,10,0,266.395,412.8018677888946,-583.79,1
111,12514.0,2011-03-17,267,1017.68,19.954509803921567,1,440,51,0.0,3,16,0,1017.68,0.0,0.0,1
112,12515.0,2010-12-21,353,278.7,18.58,1,128,15,0.0,1,15,0,278.7,0.0,0.0,1
113,12516.0,2011-09-23,77,1186.06,49.41916666666666,2,868,19,4.434782608695652,4,9,0,593.03,90.26925168627469,127.65999999999995,1
114,12517.0,2011-11-11,28,2263.65,8.142625899280576,5,1328,231,0.5740072202166066,3,15,0,565.9125,177.50095011482804,-119.665,1
115,12518.0,2011-12-09,0,1840.89,15.46966386554622,5,1306,83,0.9152542372881356,4,10,0,368.178,80.32590690431077,-0.9319999999999936,1
116,12519.0,2011-10-07,63,276.84,17.3025,1,172,16,0.0,4,9,0,276.84000000000003,0.0,0.0,1
117,12520.0,2011-09-21,79,2294.51,15.296733333333332,6,1414,120,1.2953020134228188,4,11,0,573.6275,332.3462157023405,-171.67100000000002,1
118,12521.0,2011-07-20,142,545.68,14.748108108108108,1,306,37,0.0,2,10,0,545.68,0.0,0.0,1
119,12522.0,2011-10-31,39,156.72,15.672,2,192,10,1.3333333333333333,0,14,0,156.72,0.0,0.0,1
120,12523.0,2011-12-08,1,1655.57,15.618584905660375,13,856,83,3.095238095238096,2,9,0,165.557,109.1328641865298,6.450848484848487,1
121,12524.0,2011-11-30,9,3945.72,29.01264705882353,8,3669,112,2.3777777777777778,3,13,0,563.6742857142857,404.1130053115153,28.038928571428585,1
122,12526.0,2011-12-09,0,1172.66,17.245,3,624,63,1.388059701492537,0,9,0,390.8866666666667,131.05017410645942,-121.61,1
123,12527.0,2011-09-19,81,330.71000000000004,19.45352941176471,3,233,17,15.1875,1,12,0,110.23666666666668,44.460018368567205,-25.36500000000001,1
124,12528.0,2011-11-30,9,1634.28,18.362696629213485,8,734,49,3.4204545454545454,0,9,0,272.38,93.74222485091764,-18.70342857142856,1
125,12530.0,2011-10-11,59,1461.63,22.83796875,5,891,50,4.365079365079365,1,10,0,365.4075,33.53104370082547,17.408999999999985,1
126,12531.0,2011-11-25,14,125.22,7.365882352941177,1,45,17,0.0,4,11,0,125.22,0.0,0.0,1
127,12532.0,2011-11-09,30,313.83000000000004,20.922000000000004,1,151,15,0.0,2,13,0,313.83000000000004,0.0,0.0,1
128,12534.0,2011-08-01,130,981.18,15.82548387096774,1,645,62,0.0,0,10,0,981.18,0.0,0.0,1
129,12535.0,2011-09-09,91,716.35,21.069117647058825,2,219,28,2.8484848484848486,0,12,0,358.17499999999995,18.773685040502823,-26.55000000000001,1
130,12538.0,2011-11-10,29,363.95,17.33095238095238,1,191,21,0.0,3,17,0,363.95,0.0,0.0,1
131,12541.0,2011-11-10,29,841.18,17.166938775510204,3,675,45,5.208333333333333,3,10,0,280.3933333333334,82.72280540052625,38.32000000000002,1
132,12544.0,2011-11-10,29,299.7,15.773684210526316,2,130,18,0.3333333333333333,3,16,0,299.7,0.0,0.0,1
133,12545.0,2011-09-25,75,832.39,17.341458333333332,2,517,41,3.914893617021277,4,12,0,416.195,180.9556963734493,-255.91,1
134,12546.0,2011-10-24,46,1001.5,14.727941176470589,3,612,58,0.4626865671641791,4,9,0,500.75,248.12376951835952,-350.90000000000003,1
135,12547.0,2011-05-26,197,151.79999999999998,25.3,2,132,6,16.4,4,12,0,75.9,78.48885271170678,-111.0,1
136,12548.0,2011-06-26,166,67.19999999999999,16.799999999999997,1,48,4,0.0,6,15,0,67.19999999999999,0.0,0.0,1
137,12550.0,2011-09-21,79,824.83,14.729107142857144,1,564,56,0.0,2,14,0,824.83,0.0,0.0,1
138,12551.0,2010-12-17,357,168.0,16.8,1,100,10,0.0,4,11,0,168.0,0.0,0.0,1
139,12552.0,2011-10-31,39,317.82,16.72736842105263,1,85,19,0.0,0,12,0,317.82,0.0,0.0,1
140,12553.0,2011-12-01,8,3238.25,17.316844919786096,14,1901,94,1.6935483870967742,4,10,0,359.80555555555554,185.09694548473183,-1.3673333333333308,1
141,12556.0,2011-10-20,50,599.56,5.038319327731092,2,355,100,0.847457627118644,0,13,0,299.78,12.68549565448664,-17.939999999999998,1
142,12558.0,2011-12-08,1,1.0658141036401504e-14,4.844609562000683e-16,2,0,11,0.238095238095238,3,10,0,1.0658141036401504e-14,0.0,0.0,1
143,12559.0,2011-02-02,310,500.21,23.81952380952381,3,279,20,0.4,0,10,0,250.105,282.8497835424309,-400.01,1
144,12560.0,2011-12-04,5,1885.39,17.297155963302753,3,1066,91,1.2685185185185186,1,15,0,628.4633333333333,662.4693224846968,-333.30499999999995,1
145,12561.0,2011-02-10,302,238.85,14.928125,1,177,16,0.0,3,11,0,238.85,0.0,0.0,1
146,12562.0,2011-12-01,8,3385.74,21.02944099378882,7,1757,98,1.175,3,8,0,483.6771428571428,99.97234729568731,23.467499999999998,1
147,12564.0,2011-03-23,261,402.9,20.145,1,130,20,0.0,2,14,0,402.9,0.0,0.0,1
148,12565.0,2011-03-03,281,131.17,13.117,2,75,9,0.7777777777777778,3,10,0,65.58500000000001,113.6108465332426,-160.67000000000002,1
149,12566.0,2011-09-28,72,292.7,15.405263157894735,2,261,18,0.7222222222222222,2,14,0,292.7,0.0,0.0,1
150,12571.0,2011-10-31,39,519.61,15.28264705882353,2,523,31,2.4545454545454546,0,10,0,259.805,16.199816356983792,22.91,1
151,12572.0,2011-12-01,8,896.72,14.945333333333334,3,444,52,0.711864406779661,2,8,0,448.36,20.760655095637045,-29.360000000000014,1
152,12573.0,2011-04-26,227,160.54000000000002,5.733571428571429,1,84,26,0.0,1,15,0,160.54000000000002,0.0,0.0,1
153,12574.0,2011-01-28,315,182.45,18.245,1,59,10,0.0,4,9,0,182.45,0.0,0.0,1
154,12576.0,2011-11-04,35,1306.98,14.685168539325844,6,964,72,3.034090909090909,4,10,0,261.396,81.32888373757505,34.576,1
155,12577.0,2011-11-04,35,560.25,3.837328767123288,4,462,136,2.2275862068965515,4,13,0,280.125,119.12627942649767,168.47000000000003,1
156,12578.0,2011-11-18,21,2361.36,20.011525423728816,4,1157,111,2.700854700854701,3,15,0,1180.68,269.87437410765773,-381.66,1
157,12579.0,2011-09-27,73,374.72,12.921379310344827,2,276,28,0.1428571428571428,3,17,0,374.72,0.0,0.0,1
158,12580.0,2011-04-07,246,379.7,16.508695652173913,1,236,23,0.0,3,10,0,379.7,0.0,0.0,1
159,12581.0,2011-10-31,39,179.71,12.836428571428572,1,160,14,0.0,0,8,0,179.71,0.0,0.0,1
160,12582.0,2011-04-15,238,351.36,17.568,2,296,20,2.5789473684210527,3,11,0,175.68,14.877526676164944,21.039999999999992,1
161,12584.0,2011-12-06,3,1809.95,14.4796,18,351,43,2.161290322580645,1,13,0,226.24375,185.93285146890295,6.566309523809521,1
162,12585.0,2011-04-19,234,1766.81,18.598,4,1246,76,1.2340425531914894,3,12,0,588.9366666666666,609.3044444555885,-243.42499999999995,1
163,12587.0,2011-12-02,7,104.0,34.666666666666664,1,50,3,0.0,4,12,0,104.0,0.0,0.0,1
164,12588.0,2011-10-31,39,174.89999999999998,19.43333333333333,1,52,9,0.0,0,15,0,174.89999999999998,0.0,0.0,1
165,12589.0,2011-11-11,28,574.68,17.414545454545454,2,302,28,3.59375,4,10,0,287.34000000000003,245.8468856829388,347.68,1
166,12591.0,2011-01-26,317,368.85,14.754,1,225,25,0.0,2,14,0,368.85,0.0,0.0,1
167,12592.0,2011-09-08,92,401.6,25.1,2,288,10,8.066666666666666,1,13,0,200.8,18.384776310850235,-26.0,1
168,12593.0,2011-08-23,108,382.1,19.105,3,204,13,5.789473684210527,1,9,0,191.05,12.657211383239217,-17.900000000000006,1
169,12594.0,2011-11-02,37,3208.2200000000003,28.142280701754387,9,1772,49,2.4867256637168142,0,12,0,356.4688888888889,257.42545180325726,22.661666666666665,1
170,12596.0,2011-10-19,51,450.27,18.0108,2,468,24,7.916666666666667,0,13,0,225.135,15.817978695143072,22.370000000000005,1
171,12597.0,2011-11-20,19,3067.13,14.605380952380951,5,2165,183,1.181818181818182,6,13,0,766.7825,797.5366717326127,6.0949999999999935,1
172,12598.0,2011-11-30,9,2786.68,21.7709375,8,1928,83,2.141732283464567,4,12,0,464.4466666666667,365.4300665608492,86.30400000000002,1
173,12599.0,2011-11-10,29,888.58,16.156000000000002,7,948,31,5.037037037037037,1,13,0,148.09666666666666,65.35278958595927,-13.530857142857142,1
174,12600.0,2011-11-11,28,2311.04,42.79703703703704,10,758,31,6.39622641509434,4,10,0,256.78222222222223,79.07218328492293,5.44883333333333,1
175,12601.0,2011-06-03,189,479.56,19.981666666666666,6,239,20,6.086956521739131,3,10,0,95.912,29.14214679806551,-13.232,1
176,12602.0,2011-10-12,58,153.12,12.76,1,162,12,0.0,2,11,0,153.12,0.0,0.0,1
177,12604.0,2011-09-21,79,236.18,15.745333333333331,2,200,14,13.0,2,12,0,118.09,59.97679718024297,-84.82000000000001,1
178,12605.0,2010-12-09,365,-7.5,-2.5,1,-4,3,0.0,3,15,0,-7.5,0.0,0.0,1
179,12607.0,2011-10-12,58,3.552713678800501e-15,1.75876914792104e-17,2,0,101,0.0099502487562189,0,16,0,7.105427357601002e-15,0.0,0.0,1
180,12609.0,2011-09-22,78,964.85,16.92719298245614,3,639,56,4.285714285714286,0,15,0,321.6166666666667,89.68371777158512,19.095,1
181,12610.0,2011-11-17,22,1705.99,15.943831775700934,6,1018,84,0.9528301886792452,4,13,0,568.6633333333333,471.65553005698274,-457.25,1
182,12611.0,2011-10-18,52,1193.32,18.35876923076923,1,846,65,0.0,1,13,0,1193.32,0.0,0.0,1
183,12613.0,2011-11-08,31,2966.98,18.660251572327045,5,1582,123,1.4493670886075949,3,14,0,741.745,775.5474829005208,-145.618,1
184,12614.0,2011-03-07,277,315.6,15.78,1,76,20,0.0,0,10,0,315.6,0.0,0.0,1
185,12615.0,2011-12-07,2,2093.19,20.72465346534653,4,1365,81,1.65,3,10,0,523.2975,97.06097924329153,-50.13699999999999,1
186,12616.0,2011-09-15,85,585.25,17.21323529411765,5,269,24,6.393939393939394,0,15,0,195.08333333333331,199.97365659839636,95.25,1
187,12617.0,2011-11-10,29,352.98,8.609268292682927,1,210,39,0.0,3,14,0,352.98,0.0,0.0,1
188,12618.0,2011-11-18,21,137.31,13.731,1,95,10,0.0,4,11,0,137.31,0.0,0.0,1
189,12619.0,2011-11-23,16,2908.81,33.82337209302325,11,3337,48,2.7411764705882358,3,14,0,484.8016666666667,205.67855001595737,90.85685714285717,1
190,12620.0,2011-11-25,14,1303.41,14.323186813186814,3,1179,88,2.1,4,10,0,434.47,110.35854429993172,-98.78499999999998,1
191,12622.0,2011-04-21,232,162.1,16.21,1,68,10,0.0,3,16,0,162.1,0.0,0.0,1
192,12623.0,2011-03-08,276,269.1,15.829411764705885,1,189,17,0.0,1,13,0,269.1,0.0,0.0,1
193,12624.0,2011-08-25,106,569.13,15.809166666666666,2,351,35,2.0285714285714285,2,12,0,284.565,29.168154723945086,41.25,1
194,12625.0,2011-05-12,211,2362.32,26.844545454545457,3,1563,73,1.2183908045977012,0,13,0,787.44,821.643844253701,-383.71,1
195,12627.0,2011-11-29,10,4082.53,18.225580357142857,6,2730,161,0.5695067264573991,3,15,0,816.506,236.18740923258375,-32.29099999999999,1
196,12628.0,2011-12-05,4,715.61,17.89025,4,442,33,1.5128205128205128,3,9,0,238.53666666666663,66.82943388457913,-59.19499999999999,1
197,12630.0,2011-11-30,9,1030.88,16.62709677419355,2,542,59,0.5573770491803278,3,10,0,515.44,93.83306986345484,-132.69999999999993,1
198,12631.0,2011-10-13,57,480.5,16.016666666666666,1,232,30,0.0,3,13,0,480.5,0.0,0.0,1
199,12633.0,2011-10-12,58,1906.63,19.25888888888889,5,1136,72,2.326530612244898,4,10,0,381.326,375.622306752408,-184.07100000000003,1
200,12635.0,2011-09-11,89,1509.18,15.244242424242424,2,1162,95,0.6632653061224489,6,11,0,754.5899999999999,176.70598461851824,249.9,1
201,12638.0,2011-11-06,33,511.69,13.465526315789472,1,573,38,0.0,6,13,0,511.69,0.0,0.0,1
202,12639.0,2011-04-15,238,366.1,17.433333333333334,1,198,21,0.0,4,12,0,366.1,0.0,0.0,1
203,12640.0,2011-11-16,23,994.58,19.8916,3,301,46,1.163265306122449,0,12,0,497.29,250.74006460874975,-354.6,1
204,12641.0,2011-08-16,115,145.9,16.211111111111112,1,71,9,0.0,1,13,0,145.9,0.0,0.0,1
205,12642.0,2011-11-14,25,905.26,20.57409090909091,3,546,38,1.9069767441860463,2,9,0,301.75333333333333,40.08007027605282,-5.799999999999983,1
206,12643.0,2011-08-03,128,3041.64,168.98,6,1788,10,11.882352941176473,1,12,0,760.41,246.70223914670905,83.78400000000002,1
